Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_TS,Pickup_TS,Return_TS,City,Pickup_Lat,Pickup_Lon,Drop_Lat,Drop_Lon,Payment,Odo_Start,Odo_End,Fuel_Level,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events,Damage_Flag,Rate,Promo_Code,GST_Amount,Total_Amount,Rate_Plan,Driver_License,Notes,Customer_Feedback
RES-00023,C8711,car-08,Luxury,2026-01-21 08:01,2026-01-23 13:01,2026-01-27 06:01,Kolkata,22.563272,88.375395,22.556924,88.378787,Card,"12,781 km",12400km,66 %,23.829064,83.79,129 kmh,5,0,"₹ 2,000 /day",SAVE10,100.0,2100.0,standard,DL90871,Speakers not working,Good speaker
RES-00024,C9785,CAR-11,Economy,2026-02-07 12:14,2026/02/09 07:14,2026-02-13 17:14,Delhi,28.722776,77.093665,28.709759,77.098487,Card,"53,738km",54991km,72 %,16.542752,72.1248,51,4,1,1000,SAVE10,50.0,1050.0,premium,DL12345,scratch on door,email test@gmail.com
RES-00025,C4114,CAR-09,Luxury,2026-01-21 21:16,2026/01/23 18:16,2026-01-28 13:16,kolkata,22.570056,88.383269,22.557226,88.37988,UPI,"60,487 km",62340km,0.2,27.93,87.987689,57,0,0,₹2500/day,,125.0,2625.0,standard,DL67543,Speakers not working,good service
RES-00026,C7691,CAR-11 ,SUV,2026-03-06 22:43,2026-03-08 17:43,2026-03-09 14:43,CHENNAI,13.089235,80.255685,13.098702,80.270985,cash,71647,"71,934 km",0.19,23.444858,73.491647,73,4,0,"₹ 1,500 /day",,75.0,1575.0,premium,INVALID,Bad Seats Quality,Smooth going
RES-00027,C6279,CAR-15 ,Luxury,2026-01-15 15:26,2026-01-17 06:26:00,2026-01-19 06:26,Hyderabad,17.377155,78.475107,17.39643,78.490966,wallet,43493km,"44,200 km",62 %,27.78,78.163439,82,5,0,1500/day,BOGUS99,75.0,1575.0,eco,DL90871,scratch on door,Good speaker
RES-00028,C4262,CAR-05,Economy,2026-01-25 22:30,2026-01-28 16:30,2026-01-31 20:30,kolkata,22.556335,88.38198,22.561995,88.356317,upi,45364km,45906,26 %,17.82,82.54,124 kmh,4,1,800,BOGUS99,40.0,840.0,eco,DL67543,Scratch on windows,email test@gmail.com
RES-00029,C2746,CAR-25 ,Compact,2026-03-01 18:54,2026/03/02 19:54,2026-03-09 16:54,kolkata,22.572375,88.353659,22.578842,88.344122,upi,"25,283 km","26,926 km",70 %,12.39,79.453,43,0,0,"₹ 2,000 /day",SAVE10,100.0,2100.0,premium,INVALID,Scratch on windows,email test@gmail.com
RES-00030,C8251,CAR 20,Luxury,2026-03-29 05:29,2026/03/31 16:29,2026-04-02 03:29,mumbai,19.082703,72.897216,19.079818,72.895702,cash,40031,"40,555 km",0.7,16.6012,73.9701,126 kmh,2,0,₹1200/day,SAVE10,60.0,1260.0,premium,INVALID,Speakers not working,Smooth going
RES-00031,C2269, CAR-23,Compact,2026-02-25 21:47,2026-02-27 05:47:00,2026-03-07 09:47,kolkata,22.583233,88.364752,22.57767,88.354884,Card,38974,"39,285 km",96 %,12.01,82.0542,159 kmh,3,0,800/day,SAVE10,,840.0,premium,DL12345,Speakers not working,Good speaker
RES-00032,C7812,car-02,Luxury,2026-02-11 04:57,12/02/2026 10:57,2026-02-14 04:57,Hyderabad,17.393257,78.469269,17.381304,78.488404,card,"23,089km","23,625 km",73%,17.1,87.6777,152 kmh,5,0,2000/day,,100.0,2100.0,standard,DL90871,Bad Seats Quality,Smooth going
RES-00033,C9947,CAR 26,Compact,2026-03-15 00:01,16/03/2026 22:01,2026-03-17 03:01,delhi,28.718238,77.120637,28.700861,77.112401,card,81614km,81991,0.87,20.4,75.4822,176 kmh,3,0,2500/day,BOGUS99,,2625.0,standard,DL12345,Bad Seats Quality,Good speaker
RES-00034,C7455,CAR 19,Economy,2026-01-27 04:27,2026-01-29 08:81:81,2026-02-05 15:27,Kolkata,22.58622,88.380682,22.591829,88.365265,UPI,"69,102 km","70,989 km",6%,13.8477,85.61,83,5,0,₹1200/day,BOGUS99,,1260.0,premium,DL67543,Scratch on windows,good service
RES-00035,C7906,CAR-09,Luxury,2026-03-22 12:08,2026-03-24 13:08:00,2026-03-27 11:08,Delhi,28.702288,77.096,28.719286,77.09363,UPI,"71,630 km","72,911 km",6%,27.2112,72.29,176 kmh,6,1,1000/day,DISC15,50.0,1050.0,standard,DL67543,Contact Rahul 9876543210,good service
RES-00036,C2874,car-19,Luxury,2026-03-10 19:22,2026-03-11 01:22,2026-03-18 03:22,blr,12.959574,77.575415,12.957695,77.579649,wallet,47823km,"48,058km",0.62,16.36,82.072371,136 kmh,6,0,"₹ 2,500 /day",DISC15,,2625.0,eco,DL12345,scratch on door,Good speaker
RES-00037,C7149,car-13,Economy,2026-02-01 20:10,02/02/2026 11:10,2026-02-10 14:10,mumbai,19.060324,72.858727,19.068478,72.884794,cash,94856,"95,289km",61%,25.030265,86.16,78,2,0,"₹ 2,500 /day",SAVE10,125.0,2625.0,premium,INVALID,Bad Seats Quality,Good speaker
RES-00038,C6590,CAR-01 ,Luxury,2026-03-30 04:15,2026/03/30 20:15,2026-04-03 05:15,Chennai,13.076588,80.267835,13.077523,80.270938,UPI,"50,117 km","50,736km",0.4,22.1812,86.3925,81,3,0,2000/day,DISC15,100.0,2100.0,standard,DL67543,Bad Seats Quality,Smooth going
RES-00039,C5397,car-11,Economy,2026-02-24 12:40,2026-02-25 11:40:00,2026-03-02 06:40,kolkata,22.577236,88.380685,22.583586,88.362495,Card,"19,447 km","19,558km",0.5,12.944359,73.58,137 kmh,5,0,₹ 800 /day,,40.0,840.0,premium,INVALID,Contact Rahul 9876543210,Good mileage
RES-00040,C5232, CAR-11,SUV,2026-02-25 06:48,2026-02-27 07:48:00,2026-03-06 14:48,Delhi,28.703872,77.095501,28.703602,77.096693,cash,55082km,"55,774km",11%,21.45,79.261059,145 kmh,6,1,₹1500/day,BOGUS99,75.0,1575.0,standard,DL90871,Speakers not working,good service
RES-00041,C2524,car-10,Luxury,2025-12-31 01:12,2026/01/02 16:12,2026-01-07 04:12,Chennai,13.090324,80.276536,13.082333,80.282417,wallet,107072km,"107,657 km",68 %,18.0,81.823115,134 kmh,4,0,800/day,,40.0,840.0,premium,DL67543,Bad Seats Quality,Good speaker
RES-00042,C6023,car-09,Economy,2026-01-29 13:42,01/02/2026 09:42,2026-02-07 10:42,delhi,28.723965,77.104516,28.698172,77.10065,wallet,"57,288 km",57752,10 %,23.2568,84.214447,46,4,0,"₹ 2,000 /day",BOGUS99,100.0,2100.0,standard,DL12345,Scratch on windows,good service
RES-00043,C5636,car-04,SUV,2026-01-24 10:07,25/01/2026 10:07,2026-02-01 22:07,Mumbai,19.085544,72.86876,19.079583,72.888108,upi,119995,120745km,0.41,13.561305,74.94,54,6,1,"₹ 3,000 /day",DISC15,150.0,3150.0,premium,DL12345,Bad Seats Quality,Good speaker
RES-00044,C9042,CAR-04,SUV,2026-02-14 17:19,2026/02/16 05:19,2026-02-17 17:19,Bengaluru,12.973734,77.602497,12.956651,77.609338,card,95837,"95,953km",95%,15.248625,72.010753,142 kmh,6,0,1500/day,SAVE10,75.0,1575.0,premium,DL90871,Bad Seats Quality,Good speaker
RES-00045,C3444,CAR 26,SUV,2026-03-01 00:21,2026-03-03 14:21,2026-03-06 10:21,Bengaluru,12.967628,77.577563,12.976778,77.576744,UPI,"16,993 km",17452,91%,18.5557,87.1794,88,3,0,2500/day,DISC15,125.0,2625.0,standard,DL67543,Scratch on windows,good service
RES-00046,C6003,CAR 19,Economy,2026-01-30 22:35,2026-02-01 03:35:00,2026-02-07 21:35,CHENNAI,13.080721,80.268409,13.097107,80.290301,cash,"95,806 km",97519,32 %,27.7739,81.92,152 kmh,3,0,1200,DISC15,60.0,1260.0,premium,DL67543,Speakers not working,email test@gmail.com
RES-00047,C8699,CAR-10,Compact,2026-01-12 09:40,2026-01-13 06:40,2026-01-14 06:40,Mumbai,19.07808,72.863961,19.072341,72.885275,Card,"30,359km","29,976 km",60%,15.64,86.7887,53,3,0,1000/day,SAVE10,50.0,1050.0,standard,DL67543,Speakers not working,email test@gmail.com
RES-00048,C3330,CAR-03,Compact,2026-03-30 23:44,2026-04-01 09:44:00,2026-04-04 00:44,Kolkata,22.569606,88.365682,22.578505,88.380236,Card,"79,072km",79146,53%,24.033483,72.654639,53,5,0,3000/day,BOGUS99,150.0,3150.0,eco,INVALID,Bad Seats Quality,Good speaker
RES-00049,C2317,CAR-20,Luxury,2026-03-18 07:52,18/03/2026 23:52,2026-03-23 19:52,HYD,17.392989,78.504407,17.385019,78.486452,wallet,"77,415km","78,842km",99 %,25.48,73.36,76,1,0,1200/day,BOGUS99,60.0,1260.0,premium,DL12345,Scratch on windows,email test@gmail.com
RES-00050,C8245, CAR-30,Compact,2026-02-11 16:16,2026/02/11 19:16,2026-02-19 03:16,kolkata,22.57565,88.374424,22.559608,88.364659,cash,"60,905 km","62,722 km",0.5,27.171271,83.93,175 kmh,3,0,₹2500/day,DISC15,125.0,2625.0,premium,INVALID,scratch on door,Good speaker
RES-00051,C9117,CAR-10 ,Economy,2026-02-23 23:52,2026-02-25 20:52:00,2026-03-03 00:52,HYD,17.377842,78.470884,17.371433,78.483166,card,"113,324 km",113233km,83 %,14.813909,72.54,120 kmh,4,0,₹ 800 /day,,40.0,840.0,eco,DL12345,scratch on door,good service
RES-00052,C8242,CAR-25,Compact,2026-01-09 16:16,12-01-2026 10:16,2026-01-16 21:16,BENGALURU,12.96813,77.582103,12.966071,77.604858,Card,"109,256 km","109,452 km",0.9,24.63365,86.84,95,1,0,"₹ 2,500 /day",BOGUS99,125.0,2625.0,standard,INVALID,Bad Seats Quality,email test@gmail.com
RES-00053,C1224,CAR-18 ,Economy,2026-03-09 13:59,12-03-2026 04:59,2026-03-19 18:59,Bengaluru,12.990526,77.598955,12.961172,77.580935,upi,87963km,87502,0.4,12.501059,82.7795,84,5,1,₹1500/day,SAVE10,,1575.0,eco,INVALID,scratch on door,email test@gmail.com
RES-00054,C3369,car-13,Compact,2026-01-14 00:07,2026-01-15 14:07,2026-01-23 09:07,CHENNAI,13.07932,80.27,13.081589,80.268971,UPI,"67,183km","69,142 km",0.2,12.319,84.8807,50,5,0,1200/day,BOGUS99,60.0,1260.0,standard,INVALID,Scratch on windows,good service
RES-00055,C8316,CAR-18 ,SUV,2026-02-04 00:21,05/02/2026 13:21,2026-02-05 17:21,kolkata,22.586099,88.367097,22.578998,88.37851,Card,22023,"23,229 km",28%,17.089,84.8392,162 kmh,4,0,"₹ 2,000 /day",SAVE10,100.0,2100.0,eco,DL67543,Bad Seats Quality,Good mileage
RES-00056,C7246,car-13,Luxury,2026-03-11 10:24,2026-03-12 17:24:00,2026-03-14 21:24,CHENNAI,13.072042,80.281722,13.064446,80.280488,UPI,76889,78205,9%,25.9778,72.85,77,1,0,₹1200/day,DISC15,60.0,1260.0,premium,DL67543,Bad Seats Quality,Good mileage
RES-00057,C2225, CAR-16,SUV,2026-01-17 03:37,17-01-2026 16:37,2026-01-22 12:37,CHENNAI,13.063314,80.256466,13.097537,80.289498,cash,"6,624 km",7096,33%,22.69,73.711,140 kmh,5,0,2500,DISC15,125.0,2625.0,eco,DL67543,scratch on door,Good speaker
RES-00058,C2121, CAR-08,Compact,2026-03-27 15:41,2026/03/30 12:41,2026-04-06 20:41,HYD,17.390072,78.502198,17.384518,78.488341,wallet,37888,"37,777km",0.3,18.0207,75.5363,96,1,0,3000,SAVE10,150.0,3150.0,premium,DL67543,Contact Rahul 9876543210,Good mileage
RES-00059,C5000,CAR-17 ,Compact,2026-01-10 22:06,2026/01/12 13:06,2026-01-20 02:06,Bengaluru,12.964575,77.576845,12.965939,77.591827,upi,"42,047km","42,710km",0.8,15.85,87.502897,124 kmh,1,0,1000/day,DISC15,50.0,1050.0,standard,DL12345,Contact Rahul 9876543210,Good mileage
RES-00060,C8622, CAR-29,Compact,2026-01-20 10:39,2026-01-23 02:39:00,2026-01-25 19:39,Chennai,13.071988,80.276216,13.081083,80.277374,UPI,16141km,"16,670 km",0.7,22.927184,82.1515,80,5,1,1500,BOGUS99,75.0,1575.0,eco,DL67543,Speakers not working,Good speaker
RES-00061,C6881, CAR-19,SUV,2026-02-25 02:37,26-02-2026 11:37,2026-03-03 03:37,HYD,17.372969,78.482088,17.384328,78.476188,UPI,"109,198 km",109879,0.36,22.47,84.09,171 kmh,3,0,2500,SAVE10,125.0,2625.0,premium,INVALID,Scratch on windows,good service
RES-00062,C6772,car-08,SUV,2026-03-26 05:17,2026/03/26 12:17,2026-04-02 23:17,CHENNAI,13.096014,80.286817,13.09373,80.259905,wallet,117841km,118060km,0.89,20.565476,75.57426,172 kmh,0,0,₹ 800 /day,BOGUS99,40.0,840.0,standard,DL90871,scratch on door,Good speaker
RES-00063,C6352,CAR-24 ,Compact,2026-03-26 15:53,2026-03-26 21:53,2026-04-02 17:53,delhi,28.685435,77.097094,28.689356,77.118885,upi,78524km,78968,45%,13.438178,85.444751,179 kmh,2,0,2000/day,SAVE10,100.0,2100.0,premium,INVALID,scratch on door,good service
RES-00064,C8673,car-03,Compact,2026-01-16 19:56,17-01-2026 17:56,2026-01-20 18:56,delhi,28.722795,77.094306,28.718916,77.114669,wallet,"65,473km",67164,52 %,18.183095,72.11,81,0,0,"₹ 1,500 /day",BOGUS99,75.0,1575.0,eco,DL12345,Contact Rahul 9876543210,email test@gmail.com
RES-00065,C7086,car-04,Luxury,2026-03-28 10:54,28/03/2026 12:54,2026-04-01 21:54,Delhi,28.702291,77.109413,28.710994,77.105882,UPI,117975,118101,64%,21.187881,73.741029,52,3,0,"₹ 2,500 /day",BOGUS99,125.0,2625.0,premium,DL67543,Speakers not working,Good mileage
RES-00066,C9071,CAR-04,Compact,2026-03-19 05:20,21/03/2026 17:20,2026-03-22 13:20,kolkata,22.57857,88.348567,22.554414,88.345388,cash,89882,"91,251km",25%,25.56,76.19,165 kmh,6,0,3000/day,BOGUS99,150.0,3150.0,eco,DL12345,Bad Seats Quality,good service
RES-00067,C5583, CAR-02,Compact,2026-01-15 14:29,18-01-2026 12:29,2026-01-26 14:29,Hyderabad,17.400417,78.492897,17.398348,78.491326,card,"67,889km",68044km,43%,19.12,72.832163,124 kmh,2,0,"₹ 2,500 /day",BOGUS99,125.0,2625.0,premium,DL67543,Contact Rahul 9876543210,Good mileage
RES-00068,C8450,car-03,Economy,2026-02-24 07:54,26-02-2026 07:54,2026-03-05 18:54,CHENNAI,13.065122,80.261735,13.101428,80.28866,UPI,"54,561km",56026,0.08,22.077,75.322884,84,0,0,"₹ 1,000 /day",BOGUS99,50.0,1050.0,premium,DL12345,Scratch on windows,Good speaker
RES-00069,C1046,car-09,Compact,2026-02-09 08:08,12/02/2026 07:08,2026-02-20 14:08,Mumbai,19.088522,72.86702,19.086975,72.889246,cash,"106,933km","108,067 km",98 %,12.1149,74.901,169 kmh,4,1,₹2000/day,,100.0,2100.0,premium,DL90871,Contact Rahul 9876543210,email test@gmail.com
RES-00070,C2862,CAR-24,Luxury,2026-01-31 22:07,2026/02/02 05:07,2026-02-06 04:07,CHENNAI,13.063331,80.261315,13.06777,80.267538,card,"70,449km",71075,90 %,15.181,79.808111,178 kmh,1,0,3000/day,,,3150.0,premium,INVALID,scratch on door,good service
RES-00071,C7580,CAR-14,Luxury,2026-02-16 10:37,2026/02/16 16:37,2026-02-19 04:37,kolkata,22.570922,88.382461,22.555033,88.363059,wallet,54695,54379km,0.63,12.085014,75.793071,45,3,0,"₹ 1,500 /day",BOGUS99,75.0,1575.0,premium,INVALID,Speakers not working,Good mileage
RES-00072,C9692,CAR-10 ,Luxury,2026-02-25 17:57,2026/02/26 02:57,2026-02-27 19:57,mumbai,19.080973,72.881115,19.084486,72.872936,UPI,67800km,"68,531km",60%,23.6353,79.199291,138 kmh,1,0,2500,BOGUS99,125.0,2625.0,standard,INVALID,Speakers not working,email test@gmail.com
RES-00073,C6120, CAR-14,SUV,2026-03-28 19:54,31/03/2026 03:54,2026-04-02 14:54,Hyderabad,17.381553,78.499797,17.380949,78.495885,Card,56425,57946km,0.39,25.57,78.135917,148 kmh,6,0,₹2000/day,DISC15,100.0,2100.0,standard,INVALID,Scratch on windows,good service
RES-00074,C6400,CAR-22,Luxury,2026-01-20 09:59,2026-01-20 21:59:00,2026-01-21 22:59,Hyderabad,17.394784,78.481606,17.370205,78.469099,Card,"37,890km","38,060km",31 %,16.92,87.6678,161 kmh,2,0,2000/day,SAVE10,100.0,2100.0,standard,DL12345,Bad Seats Quality,good service
RES-00075,C2773,CAR 12,SUV,2026-03-25 21:55,2026/03/27 13:55,2026-04-03 02:55,Delhi,28.707217,77.09101,28.710369,77.09147,UPI,22754km,22991km,9%,24.6669,78.14,130 kmh,1,0,1500,BOGUS99,,1575.0,standard,INVALID,Contact Rahul 9876543210,Smooth going
RES-00076,C6751,car-01,Compact,2026-02-02 18:14,2026-02-05 18:14:00,2026-02-14 02:14,bangalore,12.952758,77.585531,12.982096,77.611462,cash,"111,489 km",112315km,30%,19.726761,81.268802,42,5,1,"₹ 1,500 /day",SAVE10,75.0,1575.0,standard,DL67543,scratch on door,Good mileage
RES-00077,C6314,CAR 25,Economy,2026-03-26 00:04,2026-03-26 12:04,2026-03-26 23:04,Kolkata,22.567648,88.362046,22.558896,88.356365,UPI,"12,281km","13,150km",0.72,19.916,87.24,155 kmh,5,0,₹1200/day,,60.0,1260.0,eco,DL90871,scratch on door,Good mileage
RES-00078,C2864,CAR-12 ,Economy,2026-01-18 18:48,20/01/2026 05:48,2026-01-21 05:48,HYD,17.384426,78.484382,17.375927,78.496898,Card,"56,038 km","57,616 km",9 %,23.45464,86.515908,40,6,0,"₹ 1,000 /day",BOGUS99,50.0,1050.0,eco,DL90871,Contact Rahul 9876543210,Smooth going
RES-00079,C3248, CAR-25,SUV,2026-03-28 15:37,2026-03-28 21:37:00,2026-04-01 07:37,mumbai,19.095378,72.859891,19.064177,72.895513,Card,115934km,"117,183 km",21 %,13.3467,80.118882,170 kmh,1,0,1500/day,SAVE10,75.0,1575.0,premium,INVALID,Scratch on windows,Smooth going
RES-00080,C1693,CAR-14,Luxury,2026-01-13 03:31,2026-01-16 00:31:00,2026-01-20 05:31,Kolkata,22.57261,88.377234,22.584848,88.346783,UPI,"93,547 km",94493,51%,20.2178,85.8475,148 kmh,0,0,₹800/day,,40.0,840.0,standard,INVALID,scratch on door,good service
RES-00081,C8538, CAR-27,Economy,2026-02-08 12:27,10/02/2026 18:27,2026-02-17 17:27,Delhi,28.700301,77.121148,28.690975,77.120405,card,"109,082km",109975,56%,16.89,74.09,46,5,1,1200/day,,60.0,1260.0,premium,DL12345,Speakers not working,Smooth going
RES-00082,C9693,car-17,SUV,2026-01-12 04:27,14/01/2026 07:27,2026-01-15 07:27,delhi,28.692963,77.113665,28.687155,77.107829,Card,80032,"81,431km",51%,18.5096,77.7646,70,6,0,"₹ 3,000 /day",DISC15,150.0,3150.0,premium,DL12345,scratch on door,Good mileage
RES-00083,C9095,CAR 15,Luxury,2026-03-23 05:15,2026/03/24 04:15,2026-03-26 10:15,Chennai,13.093109,80.27692,13.069786,80.281614,wallet,"83,629 km","83,139 km",0.75,25.040023,86.1321,80,6,0,3000,,150.0,3150.0,premium,INVALID,Speakers not working,good service
RES-00084,C1920,CAR 12,Economy,2026-03-13 03:40,14/03/2026 20:40,2026-03-21 16:40,mumbai,19.058731,72.875388,19.068113,72.868687,Card,"27,057km","27,533 km",94%,21.24,75.94,164 kmh,0,0,1200,BOGUS99,60.0,1260.0,standard,DL12345,Speakers not working,email test@gmail.com
RES-00085,C1672,CAR 15,Compact,2026-03-01 04:02,2026/03/01 14:02,2026-03-04 19:02,Kolkata,22.5772,88.364183,22.571108,88.366073,Card,115758,"116,556 km",0.5,15.36,85.94,158 kmh,4,0,"₹ 1,200 /day",,60.0,1260.0,premium,DL12345,Contact Rahul 9876543210,good service
RES-00086,C8199,CAR 17,Compact,2026-03-19 01:32,2026-03-19 15:32,2026-03-24 14:32,Delhi,28.704282,77.089402,28.69401,77.10001,Card,20121,22049,77 %,23.372041,80.65,178 kmh,1,0,₹800/day,DISC15,,840.0,premium,DL90871,Bad Seats Quality,Good speaker
RES-00087,C3463,CAR-11,Compact,2026-02-17 02:24,2026-02-17 09:24:00,2026-02-24 18:24,kolkata,22.555236,88.34768,22.579735,88.355266,Card,"13,684 km",14065km,0.5,24.761789,80.46,123 kmh,6,1,₹ 800 /day,,40.0,840.0,standard,DL67543,scratch on door,email test@gmail.com
